연번,상호명,업종,연락처,자치구,소재지,판매메뉴
524,본죽 (숙대입구역),한식,02-712-6282,용산구,서울 용산구 청파로45길 36,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
525,본죽 (숭실대역),한식,02-817-6288,동작구,서울 동작구 상도로 351,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
526,본죽 (신금호역),한식,02-6928-7770,성동구,서울 성동구 금호산길 59,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
527,본죽 (신길),한식,02-833-6288,영등포구,서울 영등포구 도신로 227,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
528,본죽 (신길사러가쇼핑),한식,02-834-4225,영등포구,서울 영등포구 신길로 155,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
529,본죽 (신길성애병원옆),한식,02-834-8959,영등포구,서울 영등포구 영등포로84길 12,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
530,본죽 (신내),한식,02-433-6288,중랑구,서울 중랑구 봉화산로 203,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
531,본죽 (신당동),한식,02-2254-0605,중구,서울 중구 다산로36길 30,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
532,본죽 (신대방삼거리역),한식,02-825-6288,동작구,서울 동작구 상도로 77,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
533,본죽 (신대방역),한식,02-853-6288,관악구,서울 관악구 신사로 94,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
534,본죽 (신림고시촌),한식,02-887-6288,관악구,서울 관악구 대학길 30,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
535,본죽 (신림녹두거리),한식,02-888-6233,관악구,서울 관악구 호암로 598,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
536,본죽 (신림역),한식,02-887-6233,관악구,서울 관악구 신림로 309,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
537,본죽 (신사),한식,02-549-6233,강남구,서울 강남구 도산대로11길 5,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
538,본죽 (신설동),한식,02-921-0942,동대문구,서울 동대문구 천호대로 23,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
539,본죽 (신창),한식,02-993-6288,도봉구,서울 도봉구 덕릉로 250,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
540,본죽 (신천),한식,02-2202-6288,송파구,서울 송파구 올림픽로 119,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
541,본죽 (신풍역),한식,02-841-6288,영등포구,서울 영등포구 신풍로 77,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
542,본죽 (쌍문),한식,02-908-6282,도봉구,서울 도봉구 도당로 14,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
543,본죽 (쌍문한일병원),한식,02-903-6288,도봉구,서울 도봉구 도봉로109길 58,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
544,본죽 (아차산),한식,02-458-6288,광진구,서울 광진구 자양로 283,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
545,본죽 (암사롯데팰리스),한식,02-442-6288,강동구,서울 강동구 고덕로 140,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
546,본죽 (암사역),한식,02-427-6288,강동구,서울 강동구 상암로 44,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
547,본죽 (압구정로데오),한식,02-514-6233,강남구,서울 강남구 압구정로 330,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
548,본죽 (압구정역),한식,02-3443-8245,강남구,서울 강남구 압구정로 151,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
549,본죽 (약수역),한식,02-2231-6288,중구,서울 중구 다산로 129-1,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
550,본죽 (양재은광여고),한식,02-579-6277,강남구,서울 강남구 남부순환로361길 9,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
551,본죽 (여의도KBS),한식,02-784-7280,영등포구,서울 영등포구 의사당대로 38,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
552,본죽 (역삼역),한식,02-539-6234,강남구,서울 강남구 봉은사로30길 78,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
553,본죽 (역삼특허청),한식,02-501-3993,강남구,서울 강남구 테헤란로14길 8,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
554,본죽 (연대대신동),한식,02-362-8684,서대문구,서울 서대문구 연대동문길 71,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
555,본죽 (영등포로터리),한식,02-2635-6882,영등포구,서울 영등포구 영등포로 195-1,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
556,본죽 (영등포역),한식,02-831-6288,영등포구,서울 영등포구 영신로19길 30-3,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
557,본죽 (오금),한식,02-407-6288,송파구,서울 송파구 중대로23길 20,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
558,본죽 (올림픽),한식,02-448-1688,송파구,서울 송파구 양재대로 1222,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
559,본죽 (왕십리),한식,02-2282-6288,성동구,서울 성동구 왕십리로 330,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
560,본죽 (외대),한식,02-969-6288,동대문구,서울 동대문구 이문로 100,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
561,본죽 (용두),한식,02-959-6288,동대문구,서울 동대문구 고산자로 420,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
562,본죽 (용문동),한식,02-702-6288,용산구,서울 용산구 새창로 110,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
563,본죽 (우면),한식,02-578-6288,서초구,서울 서초구 바우뫼로7길 8,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
564,본죽 (우이사거리),한식,02-990-6282,강북구,서울 강북구 삼양로 423,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
565,본죽 (월계),한식,02-972-6233,노원구,서울 노원구 월계로 370,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
566,본죽 (월곡),한식,02-942-6288,성북구,서울 성북구 오패산로 46 월곡두산위브아파트,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
567,본죽 (위생병원),한식,02-2212-6286,동대문구,서울 동대문구 망우로21가길 4,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
568,본죽 (이대),한식,02-362-6282,서대문구,서울 서대문구 이화여대1길 9,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
569,본죽 (이수),한식,02-534-6388,동작구,서울 동작구 동작대로27길 18,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
570,본죽 (인사동),한식,02-722-6288,종로구,서울 종로구 인사동길 51-2,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
571,본죽 (인왕산),한식,02-723-6288,서대문구,서울 서대문구 통일로 404,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
572,본죽 (일원),한식,02-3411-6777,강남구,서울 강남구 일원로 43,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
573,본죽 (자양동),한식,02-3436-6288,광진구,서울 광진구 뚝섬로 642,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
574,본죽 (잠실나루역),한식,02-415-6288,송파구,서울 송파구 올림픽로 435,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
575,본죽 (잠원),한식,02-3482-6288,서초구,서울 서초구 나루터로 42,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
576,본죽 (장승배기역),한식,02-821-6288,동작구,서울 동작구 상도로 193,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
577,본죽 (장안동),한식,02-2245-6245,동대문구,서울 동대문구 장안벚꽃로 107,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
578,본죽 (장안동삼거리),한식,02-2246-6288,동대문구,서울 동대문구 사가정로 229,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
579,본죽 (전농뉴타운),한식,02-3394-6281,동대문구,서울 동대문구 답십리로 76,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
580,본죽 (전농동),한식,02-2245-2377,동대문구,서울 동대문구 사가정로 136,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
581,본죽 (정릉),한식,02-943-6268,성북구,서울 성북구 보국문로 38,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
582,본죽 (종로3가),한식,02-762-6288,종로구,서울 종로구 돈화문로 31,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
583,본죽 (종로6가),한식,02-747-6288,종로구,서울 종로구 종로39길 10-1,"특전복내장죽(페스코), 특전복죽(페스코), 진전복죽(페스코), 전복죽(페스코), 매생이굴죽(페스코), 낙지김치죽(페스코), 해물죽(페스코), 버섯굴죽(페스코), 새우죽(페스코), 참치야채죽(페스코), 6가지야채죽(일반식,비건가능), 가평잣죽(비건), 단호박죽(비건), 동지팥죽(비건), 흑임자죽(비건), 녹두죽(비건)"
